year,CQ,COP,file,reference_profile
2025,CQ2,COP2,data/model_inputs/thermal/2025_CQ2_COP2.csv.gz,1
2025,CQ3,COP1,data/model_inputs/thermal/2025_CQ3_COP1.csv.gz,25
2025,CQ3,COP2,data/model_inputs/thermal/2025_CQ3_COP2.csv.gz,14
2025,CQ4,COP1,data/model_inputs/thermal/2025_CQ4_COP1.csv.gz,27
2025,CQ4,COP2,data/model_inputs/thermal/2025_CQ4_COP2.csv.gz,2
2025,CQ5,COP1,data/model_inputs/thermal/2025_CQ5_COP1.csv.gz,7
2025,CQ5,COP2,data/model_inputs/thermal/2025_CQ5_COP2.csv.gz,4
2025,CQ6,COP1,data/model_inputs/thermal/2025_CQ6_COP1.csv.gz,10
2025,CQ6,COP2,data/model_inputs/thermal/2025_CQ6_COP2.csv.gz,11
2026,CQ1,COP1,data/model_inputs/thermal/2026_CQ1_COP1.csv.gz,3
2026,CQ1,COP2,data/model_inputs/thermal/2026_CQ1_COP2.csv.gz,5
2026,CQ2,COP1,data/model_inputs/thermal/2026_CQ2_COP1.csv.gz,8
2026,CQ2,COP2,data/model_inputs/thermal/2026_CQ2_COP2.csv.gz,1
2026,CQ3,COP1,data/model_inputs/thermal/2026_CQ3_COP1.csv.gz,25
2026,CQ3,COP2,data/model_inputs/thermal/2026_CQ3_COP2.csv.gz,14
2026,CQ4,COP1,data/model_inputs/thermal/2026_CQ4_COP1.csv.gz,27
2026,CQ4,COP2,data/model_inputs/thermal/2026_CQ4_COP2.csv.gz,2
2026,CQ5,COP1,data/model_inputs/thermal/2026_CQ5_COP1.csv.gz,7
2026,CQ5,COP2,data/model_inputs/thermal/2026_CQ5_COP2.csv.gz,4
2026,CQ6,COP1,data/model_inputs/thermal/2026_CQ6_COP1.csv.gz,10
2026,CQ6,COP2,data/model_inputs/thermal/2026_CQ6_COP2.csv.gz,11
2027,CQ1,COP1,data/model_inputs/thermal/2027_CQ1_COP1.csv.gz,3
2027,CQ1,COP2,data/model_inputs/thermal/2027_CQ1_COP2.csv.gz,5
2027,CQ2,COP1,data/model_inputs/thermal/2027_CQ2_COP1.csv.gz,8
2027,CQ2,COP2,data/model_inputs/thermal/2027_CQ2_COP2.csv.gz,1
2027,CQ3,COP1,data/model_inputs/thermal/2027_CQ3_COP1.csv.gz,25
2027,CQ3,COP2,data/model_inputs/thermal/2027_CQ3_COP2.csv.gz,14
2027,CQ4,COP1,data/model_inputs/thermal/2027_CQ4_COP1.csv.gz,27
2027,CQ4,COP2,data/model_inputs/thermal/2027_CQ4_COP2.csv.gz,2
2027,CQ5,COP1,data/model_inputs/thermal/2027_CQ5_COP1.csv.gz,7
2027,CQ5,COP2,data/model_inputs/thermal/2027_CQ5_COP2.csv.gz,4
2027,CQ6,COP1,data/model_inputs/thermal/2027_CQ6_COP1.csv.gz,10
2027,CQ6,COP2,data/model_inputs/thermal/2027_CQ6_COP2.csv.gz,11
2028,CQ1,COP1,data/model_inputs/thermal/2028_CQ1_COP1.csv.gz,3
2028,CQ1,COP2,data/model_inputs/thermal/2028_CQ1_COP2.csv.gz,5
2028,CQ2,COP1,data/model_inputs/thermal/2028_CQ2_COP1.csv.gz,8
2028,CQ2,COP2,data/model_inputs/thermal/2028_CQ2_COP2.csv.gz,1
2028,CQ3,COP1,data/model_inputs/thermal/2028_CQ3_COP1.csv.gz,25
2028,CQ3,COP2,data/model_inputs/thermal/2028_CQ3_COP2.csv.gz,14
2028,CQ4,COP1,data/model_inputs/thermal/2028_CQ4_COP1.csv.gz,27
2028,CQ4,COP2,data/model_inputs/thermal/2028_CQ4_COP2.csv.gz,2
2028,CQ5,COP1,data/model_inputs/thermal/2028_CQ5_COP1.csv.gz,7
2028,CQ5,COP2,data/model_inputs/thermal/2028_CQ5_COP2.csv.gz,4
2028,CQ6,COP1,data/model_inputs/thermal/2028_CQ6_COP1.csv.gz,10
2028,CQ6,COP2,data/model_inputs/thermal/2028_CQ6_COP2.csv.gz,11
2029,CQ1,COP1,data/model_inputs/thermal/2029_CQ1_COP1.csv.gz,3
2029,CQ1,COP2,data/model_inputs/thermal/2029_CQ1_COP2.csv.gz,5
2029,CQ2,COP1,data/model_inputs/thermal/2029_CQ2_COP1.csv.gz,8
2029,CQ2,COP2,data/model_inputs/thermal/2029_CQ2_COP2.csv.gz,1
2029,CQ3,COP1,data/model_inputs/thermal/2029_CQ3_COP1.csv.gz,25
2029,CQ3,COP2,data/model_inputs/thermal/2029_CQ3_COP2.csv.gz,14
2029,CQ4,COP1,data/model_inputs/thermal/2029_CQ4_COP1.csv.gz,27
2029,CQ4,COP2,data/model_inputs/thermal/2029_CQ4_COP2.csv.gz,2
2029,CQ5,COP1,data/model_inputs/thermal/2029_CQ5_COP1.csv.gz,7
2029,CQ5,COP2,data/model_inputs/thermal/2029_CQ5_COP2.csv.gz,4
2029,CQ6,COP1,data/model_inputs/thermal/2029_CQ6_COP1.csv.gz,10
2029,CQ6,COP2,data/model_inputs/thermal/2029_CQ6_COP2.csv.gz,11
2030,CQ1,COP1,data/model_inputs/thermal/2030_CQ1_COP1.csv.gz,3
