year,RE,field,file,hours,provinces,units,reference_profile
2026,COMMON,load,data/model_inputs/hourly/2026_COMMON_load.csv.gz,8760,31,MW,1
2027,COMMON,load,data/model_inputs/hourly/2027_COMMON_load.csv.gz,8760,31,MW,1
2028,COMMON,load,data/model_inputs/hourly/2028_COMMON_load.csv.gz,8760,31,MW,1
2029,COMMON,load,data/model_inputs/hourly/2029_COMMON_load.csv.gz,8760,31,MW,1
2030,COMMON,load,data/model_inputs/hourly/2030_COMMON_load.csv.gz,8760,31,MW,1
2031,COMMON,load,data/model_inputs/hourly/2031_COMMON_load.csv.gz,8760,31,MW,1
2032,COMMON,load,data/model_inputs/hourly/2032_COMMON_load.csv.gz,8760,31,MW,1
2033,COMMON,load,data/model_inputs/hourly/2033_COMMON_load.csv.gz,8760,31,MW,1
2034,COMMON,load,data/model_inputs/hourly/2034_COMMON_load.csv.gz,8760,31,MW,1
2035,COMMON,load,data/model_inputs/hourly/2035_COMMON_load.csv.gz,8760,31,MW,1
