province_id,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
P01,0.0,0.0,10200.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P02,0.0,0.0,2040.0,8160.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03,10200.0,2040.0,0.0,6120.0,20400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P04,2040.0,8160.0,6120.0,0.0,16320.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05,0.0,8160.0,20400.0,16320.0,0.0,8160.0,6120.0,6120.0,0.0,8160.0,0.0,0.0,0.0,0.0,32640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P06,0.0,0.0,0.0,0.0,8160.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P07,0.0,0.0,0.0,0.0,6120.0,4080.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P08,0.0,0.0,0.0,0.0,6120.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,0.0,0.0,0.0,12240.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,8160.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,0.0,0.0,0.0,8160.0,8160.0,8160.0,0.0
P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,16320.0
P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12240.0,8160.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P15,0.0,0.0,12240.0,0.0,32640.0,8160.0,8160.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,8160.0,0.0,5440.0,0.0
P16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12240.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,16320.0,0.0,8160.0,0.0,8160.0
P17,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,12240.0,4080.0,0.0,0.0,0.0,12240.0,0.0,12240.0,0.0,4080.0,4080.0,0.0,0.0,8160.0,0.0,0.0,0.0,8160.0,8160.0,0.0,0.0,0.0,0.0
P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,8160.0,0.0
P19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,0.0,0.0,0.0,4080.0,0.0,0.0,8160.0,2040.0,0.0,0.0,12240.0,28560.0,8160.0,0.0,0.0,0.0,0.0,0.0
P20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,2040.0,14280.0,8160.0,0.0,0.0,0.0,0.0,0.0
P21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,12240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0
P23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,16320.0,16320.0,0.0,0.0,8160.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,12240.0,0.0,0.0,0.0,2040.0,0.0,0.0,0.0,0.0,0.0
P24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12240.0,2040.0,0.0,0.0,0.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0
P25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28560.0,14280.0,0.0,0.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
